Serial_No,order_id,customer_id,order_date,Month,Category,total_amount,status,region,payment_method,Revenue_Check(IF),Region_VLookup
23,3439,3234,2023-01-03,2023-01,West,"2,381.98",Completed,West,Apple Pay,Valid,West
24,4462,2038,2023-01-03,2023-01,South,418.60,Completed,South,Debit Card,Valid,South
25,4649,839,2023-01-03,2023-01,West,539.10,Completed,West,PayPal,Valid,West
26,4662,4131,2023-01-03,2023-01,North,884.91,Completed,North,Debit Card,Valid,North
27,24,4501,2023-01-04,2023-01,South,340.47,Returned,South,Apple Pay,Valid,South
28,192,5978,2023-01-04,2023-01,North,870.51,Completed,North,PayPal,Valid,North
29,291,7343,2023-01-04,2023-01,North,"2,494.02",Completed,North,Debit Card,Valid,North
30,1590,8137,2023-01-04,2023-01,Central,"1,756.88",Completed,Central,Apple Pay,Valid,Central
31,1835,5743,2023-01-04,2023-01,North,"1,745.70",Completed,North,Apple Pay,Valid,North
32,3309,2132,2023-01-04,2023-01,West,"1,262.36",Completed,West,Apple Pay,Valid,West
33,3796,8121,2023-01-04,2023-01,South,"6,565.09",Completed,South,Credit Card,Valid,South
34,4137,6940,2023-01-04,2023-01,West,360.28,Completed,West,Credit Card,Valid,West
35,4715,47,2023-01-04,2023-01,West,318.02,Completed,West,PayPal,Valid,West
36,4926,619,2023-01-04,2023-01,West,"1,755.76",Returned,West,Debit Card,Valid,West
37,813,2934,2023-01-05,2023-01,West,"5,019.54",Completed,West,Apple Pay,Valid,West
38,916,6895,2023-01-05,2023-01,North,254.46,Completed,North,Debit Card,Valid,North
39,1331,2140,2023-01-05,2023-01,East,"1,505.37",Completed,East,Apple Pay,Valid,East
40,1421,8219,2023-01-05,2023-01,South,861.87,Completed,South,PayPal,Valid,South
41,1938,9928,2023-01-05,2023-01,South,"1,745.47",Completed,South,PayPal,Valid,South
42,2410,9595,2023-01-05,2023-01,North,"5,368.21",Completed,North,PayPal,Valid,North
43,2609,2089,2023-01-05,2023-01,Central,"4,362.64",Completed,Central,PayPal,Valid,Central
44,3241,8832,2023-01-05,2023-01,North,323.68,Completed,North,Credit Card,Valid,North
45,4318,7264,2023-01-05,2023-01,West,"1,836.33",Completed,West,Debit Card,Valid,West
46,4504,2608,2023-01-05,2023-01,Central,315.29,Completed,Central,Debit Card,Valid,Central
47,373,2004,2023-01-06,2023-01,West,539.10,Completed,West,Apple Pay,Valid,West
48,1649,5887,2023-01-06,2023-01,Central,"8,178.52",Completed,Central,Apple Pay,Valid,Central
49,2152,1752,2023-01-06,2023-01,South,"1,417.10",Completed,South,Apple Pay,Valid,South
50,2778,3540,2023-01-06,2023-01,Central,"4,912.58",Completed,Central,Debit Card,Valid,Central
51,4053,9301,2023-01-06,2023-01,West,395.52,Cancelled,West,PayPal,Valid,West
52,4185,9950,2023-01-06,2023-01,North,"5,216.12",Completed,North,Debit Card,Valid,North
53,4588,6172,2023-01-06,2023-01,North,"2,470.45",Completed,North,Credit Card,Valid,North
54,4966,1646,2023-01-06,2023-01,North,665.90,Completed,North,Credit Card,Valid,North
55,316,2139,2023-01-07,2023-01,West,"1,458.48",Completed,West,Debit Card,Valid,West
56,885,4374,2023-01-07,2023-01,Central,"1,038.11",Completed,Central,Credit Card,Valid,Central
57,968,9385,2023-01-07,2023-01,Central,"2,014.72",Completed,Central,Apple Pay,Valid,Central
58,1104,1695,2023-01-07,2023-01,North,"2,127.02",Completed,North,Debit Card,Valid,North
59,1196,447,2023-01-07,2023-01,North,"2,214.84",Completed,North,Apple Pay,Valid,North
60,1491,2243,2023-01-07,2023-01,West,719.27,Completed,West,Apple Pay,Valid,West
61,1760,61,2023-01-07,2023-01,North,493.21,Completed,North,Credit Card,Valid,North
62,2174,5821,2023-01-07,2023-01,North,"1,786.37",Completed,North,Credit Card,Valid,North
63,2311,5802,2023-01-07,2023-01,South,"1,326.00",Returned,South,Debit Card,Valid,South
64,3279,7875,2023-01-07,2023-01,North,"1,786.37",Completed,North,Apple Pay,Valid,North
65,3476,6412,2023-01-07,2023-01,North,"1,148.94",Completed,North,Debit Card,Valid,North
66,3660,1189,2023-01-07,2023-01,Central,"3,441.17",Completed,Central,Debit Card,Valid,Central
67,3735,9936,2023-01-07,2023-01,North,"1,045.12",Completed,North,PayPal,Valid,North
68,4752,339,2023-01-07,2023-01,North,539.10,Completed,North,Debit Card,Valid,North
69,4978,1140,2023-01-07,2023-01,East,"1,867.50",Completed,East,Credit Card,Valid,East
70,528,1210,2023-01-08,2023-01,East,"1,501.10",Completed,East,Debit Card,Valid,East
71,1669,2265,2023-01-08,2023-01,North,401.69,Completed,North,Apple Pay,Valid,North
72,2739,8741,2023-01-08,2023-01,West,"1,820.74",Completed,West,Apple Pay,Valid,West
73,2867,2366,2023-01-08,2023-01,East,"1,196.82",Completed,East,Debit Card,Valid,East
74,2932,2231,2023-01-08,2023-01,South,"3,873.95",Completed,South,Debit Card,Valid,South
75,3065,5490,2023-01-08,2023-01,South,"2,236.13",Completed,South,Apple Pay,Valid,South
76,3396,6766,2023-01-08,2023-01,East,"1,802.19",Completed,East,PayPal,Valid,East
77,4736,6170,2023-01-08,2023-01,West,539.10,Completed,West,Credit Card,Valid,West
78,4768,8701,2023-01-08,2023-01,South,"2,710.70",Completed,South,Debit Card,Valid,South
79,4889,983,2023-01-08,2023-01,West,"1,700.93",Completed,West,PayPal,Valid,West
80,4905,2671,2023-01-08,2023-01,East,729.22,Completed,East,PayPal,Valid,East
81,351,9158,2023-01-09,2023-01,West,315.29,Completed,West,Apple Pay,Valid,West
82,2295,7837,2023-01-09,2023-01,West,96.07,Completed,West,Apple Pay,Valid,West
83,2499,3256,2023-01-09,2023-01,West,"2,491.89",Completed,West,Debit Card,Valid,West
84,3141,9342,2023-01-09,2023-01,South,"2,435.60",Completed,South,Apple Pay,Valid,South
85,3352,5495,2023-01-09,2023-01,North,242.50,Completed,North,PayPal,Valid,North
86,3618,2388,2023-01-09,2023-01,East,270.86,Completed,East,PayPal,Valid,East
87,3773,405,2023-01-09,2023-01,West,112.48,Completed,West,Debit Card,Valid,West
88,4949,8347,2023-01-09,2023-01,North,169.04,Completed,North,PayPal,Valid,North
89,4954,8570,2023-01-09,2023-01,West,"1,987.45",Completed,West,Apple Pay,Valid,West
90,133,4458,2023-01-10,2023-01,West,"1,565.22",Completed,West,Apple Pay,Valid,West
91,1121,5888,2023-01-10,2023-01,North,"1,276.59",Completed,North,Credit Card,Valid,North
92,1278,9774,2023-01-10,2023-01,North,616.73,Completed,North,Apple Pay,Valid,North
93,1284,7930,2023-01-10,2023-01,North,"1,457.67",Completed,North,Apple Pay,Valid,North
94,1359,3159,2023-01-10,2023-01,Central,"1,205.70",Completed,Central,Debit Card,Valid,Central
95,3904,4684,2023-01-10,2023-01,Central,139.51,Cancelled,Central,Debit Card,Valid,Central
96,4359,9270,2023-01-10,2023-01,East,154.02,Completed,East,Credit Card,Valid,East
97,4420,9796,2023-01-10,2023-01,South,270.86,Completed,South,Apple Pay,Valid,South
98,4670,2626,2023-01-10,2023-01,West,901.51,Completed,West,Debit Card,Valid,West
99,296,5426,2023-01-11,2023-01,East,476.27,Completed,East,Apple Pay,Valid,East
100,536,6143,2023-01-11,2023-01,West,977.28,Completed,West,PayPal,Valid,West
101,978,4555,2023-01-11,2023-01,West,"1,277.56",Completed,West,Debit Card,Valid,West
102,1980,9246,2023-01-11,2023-01,East,366.31,Completed,East,Debit Card,Valid,East
103,2951,1942,2023-01-11,2023-01,North,920.76,Completed,North,Apple Pay,Valid,North
104,4502,2194,2023-01-11,2023-01,West,"1,093.83",Completed,West,Credit Card,Valid,West
105,4636,1192,2023-01-11,2023-01,Central,836.25,Completed,Central,Credit Card,Valid,Central
106,4725,2240,2023-01-11,2023-01,South,555.00,Completed,South,Credit Card,Valid,South
107,183,5689,2023-01-12,2023-01,South,"1,910.87",Completed,South,Debit Card,Valid,South
108,186,3974,2023-01-12,2023-01,West,"1,714.39",Completed,West,PayPal,Valid,West
109,582,3336,2023-01-12,2023-01,South,"1,428.03",Completed,South,PayPal,Valid,South
110,783,8909,2023-01-12,2023-01,North,"2,193.93",Completed,North,PayPal,Valid,North
111,971,187,2023-01-12,2023-01,South,615.77,Cancelled,South,Debit Card,Valid,South
112,1188,4330,2023-01-12,2023-01,South,196.53,Completed,South,Credit Card,Valid,South
113,1198,6702,2023-01-12,2023-01,West,788.31,Completed,West,PayPal,Valid,West
114,1310,7307,2023-01-12,2023-01,North,748.01,Completed,North,Debit Card,Valid,North
115,1389,7402,2023-01-12,2023-01,North,151.46,Completed,North,Debit Card,Valid,North
116,1487,8951,2023-01-12,2023-01,Central,"1,589.99",Completed,Central,Debit Card,Valid,Central
117,2625,2345,2023-01-12,2023-01,Central,399.61,Completed,Central,PayPal,Valid,Central
118,2803,4406,2023-01-12,2023-01,South,914.09,Completed,South,Credit Card,Valid,South
119,2837,9187,2023-01-12,2023-01,Central,929.07,Completed,Central,Credit Card,Valid,Central
120,2903,6082,2023-01-12,2023-01,South,895.88,Completed,South,Debit Card,Valid,South
121,2904,7240,2023-01-12,2023-01,West,"2,977.61",Completed,West,Apple Pay,Valid,West
122,3885,1882,2023-01-12,2023-01,North,"2,662.77",Completed,North,Credit Card,Valid,North
123,1637,1094,2023-01-13,2023-01,South,661.44,Completed,South,PayPal,Valid,South
124,1892,2636,2023-01-13,2023-01,East,242.48,Completed,East,Apple Pay,Valid,East
125,3154,6754,2023-01-13,2023-01,South,"1,365.96",Completed,South,PayPal,Valid,South
126,3672,1642,2023-01-13,2023-01,North,"1,422.28",Completed,North,Debit Card,Valid,North
127,3744,5673,2023-01-13,2023-01,West,256.52,Completed,West,Credit Card,Valid,West
128,4463,2049,2023-01-13,2023-01,South,"1,817.53",Completed,South,Credit Card,Valid,South
129,4603,8430,2023-01-13,2023-01,West,"1,518.53",Completed,West,Apple Pay,Valid,West
130,4729,2955,2023-01-13,2023-01,North,994.90,Completed,North,Credit Card,Valid,North
131,353,1751,2023-01-14,2023-01,North,942.14,Completed,North,Credit Card,Valid,North
132,524,9856,2023-01-14,2023-01,Central,439.45,Completed,Central,PayPal,Valid,Central
133,1204,6106,2023-01-14,2023-01,South,"2,921.07",Completed,South,Apple Pay,Valid,South
134,1261,3582,2023-01-14,2023-01,South,556.73,Completed,South,Debit Card,Valid,South
135,1366,218,2023-01-14,2023-01,North,"3,189.33",Completed,North,Apple Pay,Valid,North
136,1983,6263,2023-01-14,2023-01,North,141.98,Completed,North,Apple Pay,Valid,North
137,2124,4313,2023-01-14,2023-01,South,"2,183.26",Completed,South,Debit Card,Valid,South
138,2674,4877,2023-01-14,2023-01,South,319.84,Completed,South,Debit Card,Valid,South
139,2922,4689,2023-01-14,2023-01,North,"1,176.98",Completed,North,Debit Card,Valid,North
140,2954,306,2023-01-14,2023-01,Central,"2,158.32",Returned,Central,Credit Card,Valid,Central
141,4203,1225,2023-01-14,2023-01,West,"1,440.61",Completed,West,PayPal,Valid,West
142,176,8684,2023-01-15,2023-01,West,"1,252.19",Completed,West,Apple Pay,Valid,West
143,443,7151,2023-01-15,2023-01,West,875.32,Completed,West,Apple Pay,Valid,West
144,677,6744,2023-01-15,2023-01,Central,193.60,Completed,Central,Apple Pay,Valid,Central
145,821,3358,2023-01-15,2023-01,Central,330.94,Completed,Central,Debit Card,Valid,Central
146,940,5332,2023-01-15,2023-01,West,89.60,Completed,West,Debit Card,Valid,West
147,1444,6432,2023-01-15,2023-01,Central,325.76,Completed,Central,Credit Card,Valid,Central
148,2466,1936,2023-01-15,2023-01,North,209.84,Completed,North,Debit Card,Valid,North
149,2560,3960,2023-01-15,2023-01,East,"5,085.27",Completed,East,PayPal,Valid,East
150,3064,8478,2023-01-15,2023-01,East,"3,217.29",Completed,East,Debit Card,Valid,East
151,3933,9239,2023-01-15,2023-01,South,"1,269.42",Completed,South,PayPal,Valid,South
152,3988,2483,2023-01-15,2023-01,East,496.71,Completed,East,Credit Card,Valid,East
153,4567,4445,2023-01-15,2023-01,North,"4,051.21",Completed,North,PayPal,Valid,North
154,4664,3490,2023-01-15,2023-01,East,105.06,Completed,East,PayPal,Valid,East
155,4822,430,2023-01-15,2023-01,West,447.91,Completed,West,Debit Card,Valid,West
156,4872,890,2023-01-15,2023-01,North,"1,311.28",Completed,North,PayPal,Valid,North
157,312,6644,2023-01-16,2023-01,East,"1,286.82",Completed,East,PayPal,Valid,East
158,752,2114,2023-01-16,2023-01,Central,"2,101.83",Completed,Central,Debit Card,Valid,Central
159,780,9275,2023-01-16,2023-01,Central,"3,862.01",Completed,Central,Apple Pay,Valid,Central
160,1502,5920,2023-01-16,2023-01,North,761.35,Completed,North,Apple Pay,Valid,North
161,1914,3087,2023-01-16,2023-01,South,"2,198.22",Completed,South,PayPal,Valid,South
162,2677,2884,2023-01-16,2023-01,South,"1,008.11",Completed,South,Apple Pay,Valid,South
163,2938,3635,2023-01-16,2023-01,North,"1,440.88",Completed,North,PayPal,Valid,North
164,3338,6833,2023-01-16,2023-01,West,"1,146.95",Completed,West,PayPal,Valid,West
165,3375,4538,2023-01-16,2023-01,North,943.48,Completed,North,Apple Pay,Valid,North
166,3641,1882,2023-01-16,2023-01,North,898.16,Completed,North,Debit Card,Valid,North
167,3781,3558,2023-01-16,2023-01,South,943.10,Completed,South,Credit Card,Valid,South
168,3888,1312,2023-01-16,2023-01,Central,422.60,Completed,Central,Apple Pay,Valid,Central
169,4097,6136,2023-01-16,2023-01,Central,814.25,Completed,Central,Apple Pay,Valid,Central
170,4156,548,2023-01-16,2023-01,North,235.13,Completed,North,Apple Pay,Valid,North
171,4373,7024,2023-01-16,2023-01,South,"3,416.07",Completed,South,Credit Card,Valid,South
172,4572,2223,2023-01-16,2023-01,East,305.06,Completed,East,Apple Pay,Valid,East
173,4711,8630,2023-01-16,2023-01,South,897.32,Completed,South,PayPal,Valid,South
174,487,6115,2023-01-17,2023-01,South,"1,089.76",Completed,South,Debit Card,Valid,South
175,735,1643,2023-01-17,2023-01,South,"1,651.24",Completed,South,Apple Pay,Valid,South
176,1468,431,2023-01-17,2023-01,West,412.43,Completed,West,Debit Card,Valid,West
177,1899,7492,2023-01-17,2023-01,Central,"1,786.37",Completed,Central,Credit Card,Valid,Central
178,2133,5360,2023-01-17,2023-01,South,503.99,Completed,South,Credit Card,Valid,South
179,2629,9236,2023-01-17,2023-01,South,"1,078.20",Completed,South,Credit Card,Valid,South
180,3297,1926,2023-01-17,2023-01,West,"2,758.47",Completed,West,Apple Pay,Valid,West
181,4105,1892,2023-01-17,2023-01,West,"4,279.97",Completed,West,Debit Card,Valid,West
182,4253,1221,2023-01-17,2023-01,Central,864.86,Completed,Central,Debit Card,Valid,Central
183,4647,8801,2023-01-17,2023-01,West,448.66,Cancelled,West,Credit Card,Valid,West
184,1562,23,2023-01-18,2023-01,Central,"3,126.04",Completed,Central,Apple Pay,Valid,Central
185,2180,3232,2023-01-18,2023-01,West,"3,868.21",Completed,West,PayPal,Valid,West
186,2544,5815,2023-01-18,2023-01,North,"1,328.07",Completed,North,Apple Pay,Valid,North
187,2582,4793,2023-01-18,2023-01,West,401.39,Completed,West,Apple Pay,Valid,West
188,2955,2770,2023-01-18,2023-01,West,"1,090.10",Completed,West,PayPal,Valid,West
189,3739,1385,2023-01-18,2023-01,East,"5,782.99",Completed,East,PayPal,Valid,East
190,3930,906,2023-01-18,2023-01,North,479.10,Completed,North,Debit Card,Valid,North
191,3934,3720,2023-01-18,2023-01,East,531.64,Completed,East,Credit Card,Valid,East
192,4327,3493,2023-01-18,2023-01,Unknown,284.14,Completed,Unknown,Debit Card,Valid,Unknown
193,4385,8331,2023-01-18,2023-01,South,"1,522.19",Completed,South,PayPal,Valid,South
194,86,3415,2023-01-19,2023-01,Central,"1,681.99",Completed,Central,PayPal,Valid,Central
195,397,7183,2023-01-19,2023-01,North,88.32,Completed,North,Debit Card,Valid,North
196,690,2145,2023-01-19,2023-01,West,623.01,Completed,West,Debit Card,Valid,West
197,890,5891,2023-01-19,2023-01,Central,367.55,Completed,Central,Credit Card,Valid,Central
198,1883,5036,2023-01-19,2023-01,Central,"2,122.90",Completed,Central,Credit Card,Valid,Central
199,2744,5451,2023-01-19,2023-01,North,"2,258.24",Completed,North,Debit Card,Valid,North
200,3648,1028,2023-01-19,2023-01,Central,230.80,Completed,Central,PayPal,Valid,Central
201,4337,9077,2023-01-19,2023-01,West,164.87,Completed,West,Apple Pay,Valid,West
202,4533,9751,2023-01-19,2023-01,Central,"2,269.61",Completed,Central,Debit Card,Valid,Central
203,896,645,2023-01-20,2023-01,West,"2,472.89",Returned,West,PayPal,Valid,West
204,1953,1988,2023-01-20,2023-01,North,"2,892.52",Completed,North,PayPal,Valid,North
205,2592,5070,2023-01-20,2023-01,East,366.31,Completed,East,Credit Card,Valid,East
206,2838,4725,2023-01-20,2023-01,North,"5,514.92",Completed,North,Apple Pay,Valid,North
207,3330,9706,2023-01-20,2023-01,North,402.39,Completed,North,Apple Pay,Valid,North
208,3344,6526,2023-01-20,2023-01,East,"1,252.29",Completed,East,Apple Pay,Valid,East
209,3455,3439,2023-01-20,2023-01,Central,"1,557.72",Completed,Central,Debit Card,Valid,Central
210,4152,6010,2023-01-20,2023-01,North,448.19,Completed,North,Credit Card,Valid,North
211,4510,8980,2023-01-20,2023-01,East,"1,363.73",Completed,East,Apple Pay,Valid,East
212,365,308,2023-01-21,2023-01,South,"1,143.23",Completed,South,Apple Pay,Valid,South
213,937,690,2023-01-21,2023-01,West,435.69,Completed,West,PayPal,Valid,West
214,1471,9997,2023-01-21,2023-01,South,"3,737.94",Completed,South,Debit Card,Valid,South
215,1632,1337,2023-01-21,2023-01,East,687.46,Completed,East,Debit Card,Valid,East
216,1671,2406,2023-01-21,2023-01,East,"6,476.11",Completed,East,Apple Pay,Valid,East
217,1991,6141,2023-01-21,2023-01,West,208.24,Completed,West,Apple Pay,Valid,West
218,2267,6137,2023-01-21,2023-01,South,"4,752.68",Completed,South,Debit Card,Valid,South
219,2415,2434,2023-01-21,2023-01,North,"1,044.90",Completed,North,Apple Pay,Valid,North
220,2462,7825,2023-01-21,2023-01,South,599.12,Completed,South,Credit Card,Valid,South
221,2630,3771,2023-01-21,2023-01,North,193.60,Completed,North,Credit Card,Valid,North
222,3931,9804,2023-01-21,2023-01,Central,268.34,Completed,Central,PayPal,Valid,Central
223,4990,6607,2023-01-21,2023-01,West,"1,865.90",Completed,West,PayPal,Valid,West
224,62,5022,2023-01-22,2023-01,East,94.39,Completed,East,Debit Card,Valid,East
225,227,8433,2023-01-22,2023-01,East,446.97,Completed,East,Credit Card,Valid,East
226,387,2892,2023-01-22,2023-01,North,"1,095.62",Completed,North,PayPal,Valid,North
227,1219,6756,2023-01-22,2023-01,West,868.28,Completed,West,Debit Card,Valid,West
228,1572,203,2023-01-22,2023-01,Unknown,"6,034.29",Completed,Unknown,Apple Pay,Valid,Unknown
229,1753,5255,2023-01-22,2023-01,West,"3,910.72",Cancelled,West,PayPal,Valid,West
230,2269,2134,2023-01-22,2023-01,West,199.16,Completed,West,Credit Card,Valid,West
231,2428,5177,2023-01-22,2023-01,East,"1,257.96",Completed,East,Credit Card,Valid,East
232,2536,7021,2023-01-22,2023-01,West,"3,034.04",Completed,West,Debit Card,Valid,West
233,3049,5399,2023-01-22,2023-01,West,"1,511.13",Completed,West,Debit Card,Valid,West
234,3268,5289,2023-01-22,2023-01,West,325.76,Completed,West,PayPal,Valid,West
235,3727,7908,2023-01-22,2023-01,West,"2,010.33",Completed,West,Debit Card,Valid,West
236,4865,2604,2023-01-22,2023-01,North,578.97,Completed,North,Debit Card,Valid,North
237,684,3569,2023-01-23,2023-01,Central,"3,081.07",Completed,Central,Credit Card,Valid,Central
238,1376,994,2023-01-23,2023-01,South,"1,530.11",Completed,South,Debit Card,Valid,South
239,1709,3991,2023-01-23,2023-01,South,"1,579.20",Completed,South,PayPal,Valid,South
240,1763,179,2023-01-23,2023-01,Central,"3,531.61",Completed,Central,Apple Pay,Valid,Central
241,2583,2236,2023-01-23,2023-01,North,576.96,Completed,North,PayPal,Valid,North
242,696,1219,2023-01-24,2023-01,Central,896.91,Completed,Central,Apple Pay,Valid,Central
243,889,9310,2023-01-24,2023-01,North,"3,053.33",Completed,North,Debit Card,Valid,North
244,1039,3078,2023-01-24,2023-01,South,"3,460.70",Completed,South,Apple Pay,Valid,South
245,1588,9893,2023-01-24,2023-01,East,"1,993.79",Completed,East,PayPal,Valid,East
246,1612,5840,2023-01-24,2023-01,West,"1,724.21",Completed,West,Credit Card,Valid,West
247,1915,4961,2023-01-24,2023-01,West,"3,310.91",Completed,West,PayPal,Valid,West
248,1924,9528,2023-01-24,2023-01,East,"1,062.48",Completed,East,Debit Card,Valid,East
249,2528,6122,2023-01-24,2023-01,East,"1,988.19",Completed,East,Debit Card,Valid,East
250,2979,8494,2023-01-24,2023-01,East,969.19,Completed,East,Debit Card,Valid,East
251,3561,2970,2023-01-24,2023-01,West,"2,601.56",Completed,West,Apple Pay,Valid,West
252,4913,217,2023-01-24,2023-01,Central,"1,239.30",Completed,Central,Credit Card,Valid,Central
253,4997,5918,2023-01-24,2023-01,Central,"1,836.52",Completed,Central,Apple Pay,Valid,Central
254,4998,6046,2023-01-24,2023-01,Central,"1,849.74",Completed,Central,PayPal,Valid,Central
255,703,3729,2023-01-25,2023-01,East,"1,560.59",Completed,East,Debit Card,Valid,East
256,2648,6565,2023-01-25,2023-01,Central,"1,862.96",Completed,Central,Credit Card,Valid,Central
257,3193,223,2023-01-25,2023-01,East,260.61,Completed,East,PayPal,Valid,East
258,3220,9503,2023-01-25,2023-01,North,"1,095.96",Completed,North,Debit Card,Valid,North
259,3633,5546,2023-01-25,2023-01,Central,539.10,Completed,Central,Debit Card,Valid,Central
260,3829,2132,2023-01-25,2023-01,West,"1,277.05",Completed,West,Debit Card,Valid,West
261,4035,9183,2023-01-25,2023-01,West,360.28,Completed,West,Debit Card,Valid,West
262,4086,2910,2023-01-25,2023-01,West,154.28,Completed,West,Credit Card,Valid,West
263,155,9862,2023-01-26,2023-01,West,653.20,Completed,West,PayPal,Valid,West
264,686,5697,2023-01-26,2023-01,East,844.85,Completed,East,Credit Card,Valid,East
265,1225,6002,2023-01-26,2023-01,Unknown,436.20,Completed,Unknown,Apple Pay,Valid,Unknown
266,2120,2049,2023-01-26,2023-01,South,413.05,Completed,South,Credit Card,Valid,South
267,2485,7070,2023-01-26,2023-01,West,736.45,Completed,West,Apple Pay,Valid,West
268,3321,3891,2023-01-26,2023-01,North,"4,414.47",Completed,North,Credit Card,Valid,North
269,3387,3406,2023-01-26,2023-01,Central,651.52,Completed,Central,Debit Card,Valid,Central
270,4346,1008,2023-01-26,2023-01,North,"2,420.13",Cancelled,North,Credit Card,Valid,North
271,50,3015,2023-01-27,2023-01,Central,273.77,Completed,Central,Debit Card,Valid,Central
272,284,157,2023-01-27,2023-01,South,492.32,Completed,South,PayPal,Valid,South
273,318,2491,2023-01-27,2023-01,East,475.16,Completed,East,Apple Pay,Valid,East
274,494,4368,2023-01-27,2023-01,East,693.91,Completed,East,PayPal,Valid,East
275,1900,6228,2023-01-27,2023-01,Central,"1,434.40",Completed,Central,PayPal,Valid,Central
276,2360,7568,2023-01-27,2023-01,West,244.19,Completed,West,PayPal,Valid,West
277,3491,2592,2023-01-27,2023-01,East,278.26,Completed,East,Debit Card,Valid,East
278,3717,4048,2023-01-27,2023-01,West,"1,285.58",Cancelled,West,Debit Card,Valid,West
279,4164,7589,2023-01-27,2023-01,East,"3,484.34",Completed,East,Apple Pay,Valid,East
280,4749,8737,2023-01-27,2023-01,West,"3,929.21",Completed,West,PayPal,Valid,West
281,4860,3891,2023-01-27,2023-01,North,"3,368.97",Completed,North,Debit Card,Valid,North
282,195,7183,2023-01-28,2023-01,North,517.32,Completed,North,Credit Card,Valid,North
283,664,9004,2023-01-28,2023-01,Unknown,271.37,Completed,Unknown,Credit Card,Valid,Unknown
284,1126,3872,2023-01-28,2023-01,Central,323.68,Completed,Central,PayPal,Valid,Central
285,1412,9239,2023-01-28,2023-01,South,"4,581.93",Completed,South,PayPal,Valid,South
286,1584,546,2023-01-28,2023-01,East,"1,145.71",Completed,East,PayPal,Valid,East
287,2166,2545,2023-01-28,2023-01,South,"3,427.67",Completed,South,Debit Card,Valid,South
288,2414,3741,2023-01-28,2023-01,West,183.34,Completed,West,PayPal,Valid,West
289,1082,7767,2023-01-29,2023-01,West,686.40,Completed,West,Apple Pay,Valid,West
290,1841,7074,2023-01-29,2023-01,South,"1,323.28",Completed,South,Apple Pay,Valid,South
291,1854,7039,2023-01-29,2023-01,South,759.97,Completed,South,PayPal,Valid,South
292,2137,987,2023-01-29,2023-01,East,911.30,Completed,East,Credit Card,Valid,East
293,2281,6812,2023-01-29,2023-01,North,619.65,Completed,North,Debit Card,Valid,North
294,2436,4220,2023-01-29,2023-01,Central,723.94,Cancelled,Central,Debit Card,Valid,Central
295,2439,2712,2023-01-29,2023-01,South,250.59,Completed,South,Credit Card,Valid,South
296,2665,883,2023-01-29,2023-01,South,280.61,Completed,South,Debit Card,Valid,South
297,2879,6726,2023-01-29,2023-01,East,336.84,Completed,East,Credit Card,Valid,East
298,2929,7385,2023-01-29,2023-01,Central,"2,620.02",Completed,Central,PayPal,Valid,Central
299,3124,2943,2023-01-29,2023-01,East,323.68,Completed,East,PayPal,Valid,East
300,3497,2871,2023-01-29,2023-01,North,802.78,Completed,North,Debit Card,Valid,North
301,4514,1079,2023-01-29,2023-01,South,428.94,Completed,South,Apple Pay,Valid,South
302,4909,7531,2023-01-29,2023-01,Central,594.37,Completed,Central,Debit Card,Valid,Central
